Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;3937681;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg282A;;3 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Sint-Truidersteenweg;282;A;;217417;179044
HASSELT - FH09;3975454;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat1;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;1;;;218116;179506
HASSELT - FH09;3975486;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat22;;1 Unit in CRAB en GM.;;;BUILDING template;Roode Roosstraat;22;;;218213;179553
HASSELT - FH09;3975487;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat14;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;14;;;218187;179523
HASSELT - FH09;3975488;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat12;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;12;;;218180;179518
HASSELT - FH09;4000532;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat326;;1 Unit in CRAB en GM.;;;BUILDING template;Boomkensstraat;326;;;217391;179190
HASSELT - FH09;4157987;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat168;;1 Units in CRAB, niet in GM.;;;BUILDING template;Boomkensstraat;168;;;217583;179631
HASSELT - FH09;4187717;1;0;0;1;SDU;;Y;NA;2;4;Huidevetterslaan5;;1 Unit in CRAB en GM.;;;BUILDING template;Huidevetterslaan;5;;;217338;179274
HASSELT - FH09;4700981;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat30;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Generaal Lemanstraat;30;;;218234;178919
HASSELT - FH09;4894222;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan7;;1 Unit in CRAB en GM.;;;BUILDING template;A. Vivaldilaan;7;;;217824;179415
HASSELT - FH09;4894243;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan17;;1 Unit in CRAB en GM.;;;BUILDING template;A. Vivaldilaan;17;;;217782;179402
HASSELT - FH09;4894252;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan21;;1 Unit in CRAB en GM.;;;BUILDING template;A. Vivaldilaan;21;;;217745;179359
HASSELT - FH09;4894436;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat209;;1 Unit in CRAB en Kadaster, niet in GM.;;;BUILDING template;Boomkensstraat;209;;;217538;179496
HASSELT - FH09;2408947;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat65;;;;;BUILDING template;Bergstraat;65;;;218197,297;179116,785
HASSELT - FH09;2420991;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat110;;;;;BUILDING template;Kerkhofstraat;110;;;217692,775;179383,217
HASSELT - FH09;2443529;11;0;0;11;MDU;;Y;NA;4;4;Sint-Truidersteenweg279;;5 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Sint-Truidersteenweg;279;;;217429,696;179176,838
HASSELT - FH09;4206390;4;0;0;4;MDU;;Y;NA;4;4;Kerkhofstraat48;;2 Units in CRAB, in GM, 2 bussen en 4 bellen.;;;BUILDING template;Kerkhofstraat;48;;;217797,48;179629,323
HASSELT - FH09;706747;1;0;0;1;SDU;;Y;NA;2;4;Weverslaan15;;;;;BUILDING template;Weverslaan;15;;;217152,453;179507,559
HASSELT - FH09;709240;23;0;0;23;MDU;;Y;NA;4;4;Notelarenstraat5;;;;;BUILDING template;Notelarenstraat;5;;;217519,167;179594,008
HASSELT - FH09;2408949;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat67;;;;;BUILDING template;Bergstraat;67;;;218199,268;179110,765
HASSELT - FH09;2420993;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat112;;;;;BUILDING template;Kerkhofstraat;112;;;217684,867;179371,454
HASSELT - FH09;2443539;0;1;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg284;;;;;BUILDING template;Sint-Truidersteenweg;284;;;217425,203;179033,595
HASSELT - FH09;4211547;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat99;;;;;BUILDING template;Hefveldstraat;99;;;217776,527;179325,052
HASSELT - FH09;706836;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan15;;;;;BUILDING template;Kleersnijderslaan;15;;;217278,646;179166,019
