Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
HASSELT - FH05;6590588;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Gouverneur Roppesingel;163;;
HASSELT - FH05;6590589;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Gouverneur Roppesingel;161;;
HASSELT - FH05;2426545;1;0;0;1;SDU;;N;ORN;3;3;;;Y;;BUILDING template;Luikersteenweg;220;;
HASSELT - FH05;328553;0;1;1;2;MDU;;N;ORN;5;3;;;Y;;BUILDING template;Luikersteenweg;230;;
HASSELT - FH05;2426562;8;8;0;16;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Luikersteenweg;232;;
HASSELT - FH05;2426301;1;0;0;1;SDU;;N;ORN;3;3;;;Y;;BUILDING template;Oude Luikerbaan;97;;
HASSELT - FH05;2426310;0;1;1;2;MDU;;N;ORN;3;3;;;Y;;BUILDING template;Oude Luikerbaan;102;;
HASSELT - FH05;2426313;6;0;0;6;MDU;;N;IRREG;3;3;;;Y;;BUILDING template;Oude Luikerbaan;105;;
HASSELT - FH05;2426319;0;2;2;4;MDU;;N;ORN;3;3;;;Y;_;BUILDING template;Oude Luikerbaan;118;;
HASSELT - FH05;4896735;1;0;0;1;SDU;;N;IRREG;2;3;;;Y;;BUILDING template;Oude Luikerbaan;121;;
HASSELT - FH05;4896736;1;0;0;1;SDU;;N;IRREG;2;3;;;Y;;BUILDING template;Oude Luikerbaan;123;;
HASSELT - FH05;4896738;1;0;0;1;SDU;;N;IRREG;2;3;;;Y;;BUILDING template;Oude Luikerbaan;125;;
HASSELT - FH05;2407163;6;0;1;7;MDU;;N;ORN;5;3;;;Y;_;BUILDING template;Anne Frankplein;1;;
HASSELT - FH05;5751546;1;0;0;1;SDU;;N;ORN;3;3;;;Y;_;BUILDING template;Winterstraat;18;;
HASSELT - FH05;2407166;7;0;1;8;MDU;;N;ORN;4;3;;;Y;_;BUILDING template;Anne Frankplein;3;;
