Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE - FH01;2759888;1;0;0;1;SDU;;Y;NA;4;4;Beschermd Erfgoed;;;BE;BUILDING template;Fincentlaan;17;;
KNOKKE - FH01;2763939;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Natienlaan;43;;
KNOKKE - FH01;333094;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Fincentlaan;18;;
KNOKKE - FH01;2763940;2;0;0;2;MDU;D;Y;NA;3;9;;;;;BUILDING template;Natienlaan;45;;
KNOKKE - FH01;2766223;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Smedenstraat;4;;
KNOKKE - FH01;2759889;1;0;0;1;SDU;;Y;NA;3;9;;;;SDU, LU;BUILDING template;Fincentlaan;20;;
KNOKKE - FH01;3939558;8;0;2;10;MDU;C;Y;NA;4;12;Beschermd Erfgoed;;;BE;BUILDING template;Fincentlaan;23;;
KNOKKE - FH01;2766227;1;0;0;1;SDU;;Y;NA;3;11;Beschermd Erfgoed;;;BE;BUILDING template;Smedenstraat;6;;
KNOKKE - FH01;2759891;8;0;2;10;MDU;XC;Y;NA;4;4;;;;Voorgevel linker zijde gebouw in blauwsteen met elastische voegen, balkon uit één beton element.;BUILDING template;Fincentlaan;24;;
KNOKKE - FH01;84475;3;3;2;8;MDU;B;N;IRREG;4;9;;;;Gerenoveerd gebouw in afwerking. Het plaatsen van opbouw kabelgoot zal volgens de aanwezige werklieden geweigerd worden door de klant.;BUILDING template;Natienlaan;53;;Nieuwstraat 12_Natiënlaan 53
KNOKKE - FH01;333504;2;0;0;2;MDU;D;Y;NA;5;12;;;Y;;BUILDING template;Natienlaan;17;;
KNOKKE - FH01;2759892;7;0;2;9;MDU;C;Y;NA;4;12;Beschermd Erfgoed;;;BE;BUILDING template;Fincentlaan;25;;
KNOKKE - FH01;84473;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Natienlaan;57;;
KNOKKE - FH01;2766230;2;0;0;2;MDU;D;Y;NA;3;9;;;;;BUILDING template;Smedenstraat;8;;
KNOKKE - FH01;4345760;6;0;2;8;MDU;C;Y;NA;4;12;;;;;BUILDING template;Fincentlaan;27;;
KNOKKE - FH01;2766231;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Smedenstraat;9;;
KNOKKE - FH01;2763917;3;0;0;3;MDU;D;Y;NA;3;9;;;Y;;BUILDING template;Natienlaan;19;;
KNOKKE - FH01;2759893;2;0;0;2;MDU;D;Y;NA;3;9;;;;Verdiep 2 is duplex van verdiep 1;BUILDING template;Fincentlaan;28;;
KNOKKE - FH01;2763952;1;1;0;2;MDU;C;N;IRREG;4;12;;;;;BUILDING template;Natienlaan;61;;
KNOKKE - FH01;2759896;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Fincentlaan;36;;
KNOKKE - FH01;2763954;1;0;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Natienlaan;63;;
KNOKKE - FH01;2766234;3;0;0;3;MDU;D;Y;NA;3;4;;;;;BUILDING template;Smedenstraat;11;;
KNOKKE - FH01;2763919;3;0;0;3;MDU;D;Y;NA;3;9;;;Y;;BUILDING template;Natienlaan;21;;
KNOKKE - FH01;2766220;8;0;1;9;MDU;X;N;IRREG;5;0;;;;;BUILDING template;Smedenstraat;3;;
KNOKKE - FH01;2759897;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Fincentlaan;38;;
