Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;Opdrachttemplate
KNOKKE-HEIST - FH04;Zeedijk-Knokke;667;;8300;Knokke-Heist;74992,0;227675,0;NB-8300667f07470;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;33;;8300;Knokke-Heist;75106,0;227630,0;NB-830033d9f566;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;37;;8300;Knokke-Heist;75106,0;227630,0;NB-830037013497;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;4;;8300;Knokke-Heist;74879,54;227568,81;NB-8300434cc38;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;731;;8300;Knokke-Heist;75352,0;227779,0;NB-830073149f465;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;39;;8300;Knokke-Heist;75116,0;227633,0;NB-830039251f24;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;7;;8300;Knokke-Heist;74964,0;227616,0;NB-83007528363;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;733;;8300;Knokke-Heist;75360,0;227780,0;NB-83007334e5512;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;5;;8300;Knokke-Heist;75323,8966;227718,7370;NB-830050a4257;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;41;;8300;Knokke-Heist;75116,0;227633,0;NB-830041454a49;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;8;;8300;Knokke-Heist;74879,54;227568,81;NB-830086f8786;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;47;;8300;Knokke-Heist;75168,0;227649,0;NB-830047626b86;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;11;;8300;Knokke-Heist;74960,0;227633,0;NB-8300118bb816;BUILDING template
