Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Municipality
EVERE - FH01;BUILDING template;726065;726065;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620874;1620874;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1120055;1120055;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620875;1620875;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620876;1620876;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620878;1620878;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620884;1620884;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620920;1620920;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;4109321;4109321;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620951;1620951;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620954;1620954;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
