Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;1735094;1735094;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;20191105091418;XA;2020-02-25;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1735095;1735095;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;18;;20191105091418;XA;2020-02-25;Peter Van Leeuwen;MDU;5;0;1;6;BUILDING template
ANTWERPEN-WEST - FH01;62446;62446;;Ankerrui 11-13;Ankerrui;11;;;XA;2019-09-10 14:30:29;Steve De Weerdt;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;52537;52537;;Amsterdamstraat 21_Braziliestraat 43;Amsterdamstraat;21;;;D;2019-07-30 15:40:09;Steffen Verhofste;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1734631;1734631;;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;44;;20191004142326;XA;2020-02-06;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108955;108955;11196797;Kempischdok-Westkaai 14-20;Kempischdok-Westkaai;20;;20190705082417;D;2019-09-13 10:50:12;Senel Koksal;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH01;59277;59277;;Sint-Aldegondiskaai 10_ Adriaan Brouwerstraat 9;Sint-Aldegondiskaai;10;;20191001141309;XA;2020-02-19 22:20:13;Senel Koksal;MDU;2;10;1;13;BUILDING template
ANTWERPEN-WEST - FH01;1734636;1734636;;Sint-Aldegondiskaai 56-58;Sint-Aldegondiskaai;56;;;D;2018-11-19;Steffen Verhofste;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;4510642;4510642;11196802;Ankerrui 15_Entrepotplaats 18;Ankerrui;15;;20191007115510;XA;2019-09-12 11:45:20;Steve De Weerdt;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1775168;1775168;14079300;Brazieliestraat 2A_Montevideostraat 5;Braziliestraat;2;A;20191004142312;D;2019-09-06 10:20:15;Peter Van Leeuwen;MDU;2;0;0;2;BUILDING template
ANTWERPEN-WEST - FH01;1986469;1986469;11196799;Oudeleeuwenrui 13-15;Oudeleeuwenrui;15;;20190705082417;A;2020-02-05;Senel Koksal;MDU;6;0;2;8;BUILDING template
