Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Bg Name ifh;Kolom1;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
SINT-NIKLAAS - FH02;3512925;BL0204;1;3512925;11489714;Regentiestraat 38-40;Regentiestraat 38-40;WAAR;Regentiestraat;38;;20200107143954;;2019-01-01;Geert Stockman;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3948787;BL0204;1;3948787;;Regentiestraat 38-40;Regentiestraat 38-40;WAAR;Regentiestraat;40;;;D;2020-03-02;Hidde Kiekens;MDU;0;11;0;11;BUILDING template
SINT-NIKLAAS - FH02;3512817;BL0204;1;3512817;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;11;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512820;BL0204;1;3512820;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;12;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512823;BL0204;1;3512823;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;13;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512826;BL0204;1;3512826;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;14;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512828;BL0204;1;3512828;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;15;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512830;BL0204;1;3512830;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;16;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512832;BL0204;1;3512832;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;17;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;61729;BL0204;1;61729;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;9;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3948785;BL0204;1;3948785;11489713;Regentieplein 7-8-9-10-11-12-13-14-15-16-17-19_Regentiestraat 32;Regentieplein 9-10-11-12-13-14-15-16-17_Regentiestraat 32;ONWAAR;Regentieplein;10;;20200107151746;D;2020-01-31 09:15:29;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
