Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH04;5575668;BL0411;3;5575668;27513994;Frans Halsplein 13-15-17-19;Frans Halsplein;19;;20200127104646;XC;2020-01-26 08:35:11;Geert Stockman;MDU;0;10;1;11;BUILDING template
ANTWERPEN-WEST - FH04;109942;BL0411;3;109942;27513994;Frans Halsplein 13-15-17-19;Frans Halsplein;13;;20200127104646;XC;2020-01-26 08:15:16;Geert Stockman;MDU;0;9;1;10;BUILDING template
ANTWERPEN-WEST - FH04;1944479;BL0429;6;1944479;;Hopland 17-19-21;Hopland;17;;;XA;2020-02-06 15:55:24;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;1944481;BL0429;6;1944481;;Hopland 17-19-21;Hopland;19;;;XA;2020-02-06 15:55:24;Hidde Kiekens;MDU;0;10;1;11;BUILDING template
ANTWERPEN-WEST - FH04;1944482;BL0429;6;1944482;;Hopland 17-19-21;Hopland;21;;;XA;2020-02-06 15:55:24;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;1944485;BL0430;6;1944485;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Hopland;31;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;3927706;BL0430;6;3927706;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Hopland;33;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;0;4;1;5;BUILDING template
ANTWERPEN-WEST - FH04;1944487;BL0430;6;1944487;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Hopland;35;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;1944488;BL0430;6;1944488;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Hopland;37;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;1966298;BL0430;6;1966298;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Kolveniersstraat;11;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;1966287;BL0430;6;1966287;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Kolveniersstraat;7;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;40;1;0;41;BUILDING template
ANTWERPEN-WEST - FH04;1966295;BL0430;6;1966295;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Kolveniersstraat;9;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;0;12;1;13;BUILDING template
ANTWERPEN-WEST - FH04;1208696;BL0430;6;1208696;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Meir;76;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;0;6;0;6;BUILDING template
ANTWERPEN-WEST - FH04;1311788;BL0430;6;1311788;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Meir;78;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;5575987;BL0430;6;5575987;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Meir;80;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;0;6;1;7;BUILDING template
ANTWERPEN-WEST - FH04;110183;BL0430;6;110183;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Meir;82;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;NB-20008401384;;;NB-20008401384;;Hopland 31-33-35-37_Kolveniersstraat 7-9-11_Meir 76-78-80-82-84 ;Meir;84;;;XA;2020-02-20 19:25:14;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
