Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH11;8360427;;BL1137;2758227;BL1137;(L/B/S)U template;Bondgenotenlaan;24;
KNOKKE-HEIST - FH11;8346839;;BL1137;2758227;BL1137;(L/B/S)U template;Bondgenotenlaan;24;
KNOKKE-HEIST - FH11;4336836;;BL1138;4336836;BL1138;BUILDING template;Bondgenotenlaan;25;
KNOKKE-HEIST - FH11;8366066;;BL1138;4336836;BL1138;(L/B/S)U template;Bondgenotenlaan;25;
KNOKKE-HEIST - FH11;2758228;;BL1137;2758228;BL1137;BUILDING template;Bondgenotenlaan;26;
KNOKKE-HEIST - FH11;8341896;;BL1137;2758228;BL1137;(L/B/S)U template;Bondgenotenlaan;26;
KNOKKE-HEIST - FH11;8341895;;BL1137;2758228;BL1137;(L/B/S)U template;Bondgenotenlaan;26;
KNOKKE-HEIST - FH11;8341894;;BL1137;2758228;BL1137;(L/B/S)U template;Bondgenotenlaan;26;
KNOKKE-HEIST - FH11;2758229;;BL1138;2758229;BL1138;BUILDING template;Bondgenotenlaan;27;
KNOKKE-HEIST - FH11;8338939;;BL1138;2758229;BL1138;(L/B/S)U template;Bondgenotenlaan;27;
KNOKKE-HEIST - FH11;8338938;;BL1138;2758229;BL1138;(L/B/S)U template;Bondgenotenlaan;27;
KNOKKE-HEIST - FH11;8338940;;BL1138;2758229;BL1138;(L/B/S)U template;Bondgenotenlaan;27;
KNOKKE-HEIST - FH11;2758231;;BL1137;2758231;BL1137;BUILDING template;Bondgenotenlaan;28;
KNOKKE-HEIST - FH11;8361529;;BL1137;2758231;BL1137;(L/B/S)U template;Bondgenotenlaan;28;
KNOKKE-HEIST - FH11;2758232;;BL1138;2758232;BL1138;BUILDING template;Bondgenotenlaan;29;
KNOKKE-HEIST - FH11;8348106;;BL1138;2758232;BL1138;(L/B/S)U template;Bondgenotenlaan;29;
KNOKKE-HEIST - FH11;301132;;BL1137;301132;BL1137;BUILDING template;Bondgenotenlaan;30;
KNOKKE-HEIST - FH11;8339721;;BL1137;301132;BL1137;(L/B/S)U template;Bondgenotenlaan;30;
KNOKKE-HEIST - FH11;8366467;;BL1137;301132;BL1137;(L/B/S)U template;Bondgenotenlaan;30;
KNOKKE-HEIST - FH11;2758233;;BL1138;2758233;BL1138;BUILDING template;Bondgenotenlaan;31;
