Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH10;4517255;;4517255;BL0002;BL0002;BUILDING template;Pacificatiestraat;28;
ANTWERPEN-WEST - FH10;4517590;;4517590;BL0016;BL0016;BUILDING template;Zwijgerstraat;5;
ANTWERPEN-WEST - FH10;4517592;;4517592;BL0016;BL0016;BUILDING template;De Vrierestraat;26;
ANTWERPEN-WEST - FH10;4517596;;4517596;BL0017;BL0017;BUILDING template;Zwijgerstraat;10;
ANTWERPEN-WEST - FH10;4518023;;4518023;BL0006;BL0006;BUILDING template;Pacificatiestraat;48;
ANTWERPEN-WEST - FH10;4518024;;4518024;BL0006;BL0006;BUILDING template;Pacificatiestraat;50;
ANTWERPEN-WEST - FH10;4518025;;4518025;BL0006;BL0006;BUILDING template;Pacificatiestraat;54;
ANTWERPEN-WEST - FH10;4518026;;4518026;BL0006;BL0006;BUILDING template;Pacificatiestraat;58;
ANTWERPEN-WEST - FH10;4518034;;4518034;BL0005;BL0005;BUILDING template;Pacificatiestraat;63;
ANTWERPEN-WEST - FH10;4518035;;4518035;BL0005;BL0005;BUILDING template;Pacificatiestraat;65;
ANTWERPEN-WEST - FH10;4518036;;4518036;BL0005;BL0005;BUILDING template;Pacificatiestraat;67;
ANTWERPEN-WEST - FH10;4518039;;4518039;BL0005;BL0005;BUILDING template;Pacificatiestraat;71;
ANTWERPEN-WEST - FH10;4518045;;4518045;BL0005;BL0005;BUILDING template;Kasteelstraat;36;
ANTWERPEN-WEST - FH10;4518049;;4518049;BL0005;BL0005;BUILDING template;Kasteelstraat;56;
ANTWERPEN-WEST - FH10;4518189;;4518189;BL0003;BL0003;BUILDING template;Edward Pecherstraat;24;
ANTWERPEN-WEST - FH10;4518211;;4518211;BL0003;BL0003;BUILDING template;Pacificatiestraat;31;
ANTWERPEN-WEST - FH10;4518213;;4518213;BL0004;BL0004;BUILDING template;Lambermontplaats;28;
ANTWERPEN-WEST - FH10;4518336;;4518336;BL0027;BL0027;BUILDING template;Amerikalei;4;
ANTWERPEN-WEST - FH10;4518340;;4518340;BL0027;BL0027;BUILDING template;Welvaartstraat;62;
ANTWERPEN-WEST - FH10;4518342;;4518342;BL0027;BL0027;BUILDING template;Welvaartstraat;72;
ANTWERPEN-WEST - FH10;4518354;;4518354;BL0028;BL0028;BUILDING template;Verbondstraat;23;
ANTWERPEN-WEST - FH10;4518355;;4518355;BL0028;BL0028;BUILDING template;Verbondstraat;29;
ANTWERPEN-WEST - FH10;4518356;;4518356;BL0028;BL0028;BUILDING template;Kasteelpleinstraat;38;
ANTWERPEN-WEST - FH10;4518358;;4518358;BL0028;BL0028;BUILDING template;Kasteelpleinstraat;50;
ANTWERPEN-WEST - FH10;4518461;;4518461;BL0014;BL0014;BUILDING template;Bouwmeestersstraat;5;
ANTWERPEN-WEST - FH10;4518462;;4518462;BL0014;BL0014;BUILDING template;Bouwmeestersstraat;7;
ANTWERPEN-WEST - FH10;4518465;;4518465;BL0013;BL0013;BUILDING template;Bouwmeestersstraat;12;
ANTWERPEN-WEST - FH10;4518475;;4518475;BL0012;BL0012;BUILDING template;Allewaertstraat;15;
ANTWERPEN-WEST - FH10;4518476;;4518476;BL0012;BL0012;BUILDING template;Allewaertstraat;19;
ANTWERPEN-WEST - FH10;4518478;;4518478;BL0012;BL0012;BUILDING template;Allewaertstraat;23;
ANTWERPEN-WEST - FH10;4518586;;4518586;BL0024;BL0024;BUILDING template;Tolstraat;34;
ANTWERPEN-WEST - FH10;4518590;;4518590;BL0025;BL0025;BUILDING template;Verbondstraat;100;
ANTWERPEN-WEST - FH10;4518592;;4518592;BL0025;BL0025;BUILDING template;Verbondstraat;96;
ANTWERPEN-WEST - FH10;4518595;;4518595;BL0024;BL0024;BUILDING template;De Vrierestraat;9;
ANTWERPEN-WEST - FH10;4518596;;4518596;BL0024;BL0024;BUILDING template;De Vrierestraat;11;
ANTWERPEN-WEST - FH10;4518607;;4518607;BL0025;BL0025;BUILDING template;De Vrierestraat;49;
ANTWERPEN-WEST - FH10;4518608;;4518608;BL0025;BL0025;BUILDING template;De Vrierestraat;55;
ANTWERPEN-WEST - FH10;4518611;;4518611;BL0025;BL0025;BUILDING template;Coquilhatstraat;34;
ANTWERPEN-WEST - FH10;4518616;;4518616;BL0025;BL0025;BUILDING template;Coquilhatstraat;44;
ANTWERPEN-WEST - FH10;4518626;;4518626;BL0015;BL0015;BUILDING template;De Vrierestraat;58;
ANTWERPEN-WEST - FH10;4518787;;4518787;BL0023;BL0023;BUILDING template;Welvaartstraat;4;
ANTWERPEN-WEST - FH10;4518788;;4518788;BL0023;BL0023;BUILDING template;Welvaartstraat;30;
ANTWERPEN-WEST - FH10;4518790;;4518790;BL0023;BL0023;BUILDING template;Vrijheidstraat;53;
ANTWERPEN-WEST - FH10;4518796;;4518796;BL0021;BL0021;BUILDING template;Lambermontstraat;33;
ANTWERPEN-WEST - FH10;4518803;;4518803;BL0022;BL0022;BUILDING template;Welvaartstraat;11;
ANTWERPEN-WEST - FH10;4518804;;4518804;BL0022;BL0022;BUILDING template;Welvaartstraat;13;
ANTWERPEN-WEST - FH10;4518807;;4518807;BL0022;BL0022;BUILDING template;Vrijheidstraat;17;
ANTWERPEN-WEST - FH10;4518808;;4518808;BL0022;BL0022;BUILDING template;Vrijheidstraat;21;
ANTWERPEN-WEST - FH10;4518809;;4518809;BL0022;BL0022;BUILDING template;Vrijheidstraat;43;
