Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
SINT-NIKLAAS - FH02;3500127;1;BL0205;3500127;BL0205;BUILDING template;Klein-Hulststraat;104;
SINT-NIKLAAS - FH02;2095713;1;BL0205;3500127;BL0205;(L/B/S)U template;Klein-Hulststraat;104;
SINT-NIKLAAS - FH02;4069906;1;BL0205;4069906;BL0205;BUILDING template;Klein-Hulststraat;106;
SINT-NIKLAAS - FH02;2095919;1;BL0205;4069906;BL0205;(L/B/S)U template;Klein-Hulststraat;106;
SINT-NIKLAAS - FH02;3948696;1;BL0205;3948696;BL0205;BUILDING template;Klein-Hulststraat;108;
SINT-NIKLAAS - FH02;2096112;1;BL0205;3948696;BL0205;(L/B/S)U template;Klein-Hulststraat;108;
SINT-NIKLAAS - FH02;2096113;1;BL0205;3948696;BL0205;(L/B/S)U template;Klein-Hulststraat;108;
SINT-NIKLAAS - FH02;3500130;1;BL0205;3500130;BL0205;BUILDING template;Klein-Hulststraat;112;
SINT-NIKLAAS - FH02;11262889;1;BL0205;3500130;BL0205;(L/B/S)U template;Klein-Hulststraat;112;
SINT-NIKLAAS - FH02;11262890;1;BL0205;3500130;BL0205;(L/B/S)U template;Klein-Hulststraat;112;
SINT-NIKLAAS - FH02;4447884;1;BL0205;4447884;BL0205;BUILDING template;Klein-Hulststraat;114;
SINT-NIKLAAS - FH02;2097129;1;BL0205;4447884;BL0205;(L/B/S)U template;Klein-Hulststraat;114;
SINT-NIKLAAS - FH02;4447886;1;BL0205;4447886;BL0205;BUILDING template;Klein-Hulststraat;116;
SINT-NIKLAAS - FH02;10642245;1;BL0205;4447886;BL0205;(L/B/S)U template;Klein-Hulststraat;116;
SINT-NIKLAAS - FH02;4447887;1;BL0205;4447887;BL0205;BUILDING template;Klein-Hulststraat;118;
SINT-NIKLAAS - FH02;2097501;1;BL0205;4447887;BL0205;(L/B/S)U template;Klein-Hulststraat;118;
SINT-NIKLAAS - FH02;4447888;1;BL0205;4447888;BL0205;BUILDING template;Klein-Hulststraat;120;
SINT-NIKLAAS - FH02;2098140;1;BL0205;4447888;BL0205;(L/B/S)U template;Klein-Hulststraat;120;
SINT-NIKLAAS - FH02;3500132;1;BL0205;3500132;BL0205;BUILDING template;Klein-Hulststraat;122;
