Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
KNOKKE-HEIST - FH03;BL0302;5579485;Lispannenlaan;35;;;74031,675;226589,806;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;2758003;Bayauxlaan;65;;;74262,552;227021,167;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;2763395;Lippenslaan;377;;;74751,27;227475,6;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0323;320352;Bayauxlaan;35;;;74599,55;227112,17;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;5579493;Meerminlaan;9;;;74393,55;227195,168;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;2758005;Bayauxlaan;71;;;74206,552;226998,167;MDU;;7;0;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;2763396;Lippenslaan;379;;;74768,547;227479,171;MDU;;7;0;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0323;320353;Leopoldlaan;61;;;74639,66;227089,15;MDU;;10;1;0;11;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0320;5579548;Julius Sabbelaan;9;;;74367,551;227028,168;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2758115;Blancgarinstraat;8;;;74720,549;227279,171;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;2763398;Lippenslaan;381;;;74769,547;227485,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
