Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
KNOKKE-HEIST - FH10;BL1030;2765700;Poststraat;6;;;72887,479;226470,78;MDU;;3;0;0;3;N;MON;4;Monument;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;295466;Duinbergenlaan;75;;;72851,558;226402,157;SDU;;1;0;0;1;N;MON;2;Monument;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1044;NB-83008A01453;Meeuwendreef;8;A;;72788;226326;SDU;;1;0;0;1;Y;NA;2;;;Y;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2765437;Patriottenstraat;60;;;72473;226554;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1030;2765701;Poststraat;8;;;72895,032;226472,661;SDU;;1;0;0;1;N;MON;2;Monument;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;295468;Duinbergenlaan;69;;;72844,354;226377,426;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1021;2765474;Petunialaan;10;;;72891;226561;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1031;2765702;Poststraat;9;;;72965,557;226488,158;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1042;295469;Anemonenlaan;14;;;72563,687;226236,201;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1003;292999;Patriottenstraat;8;;;72623;226617;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1030;2765704;Poststraat;12;;;72899,558;226471,157;MDU;;2;0;0;2;N;MON;4;Monument;;;;BUILDING template;;
