Projectnummer;Blok;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
ANTWERPEN-WEST - FH07;BL0719;Pachtstraat;6;;151908,14;211612,3743;MDU;XC;6;0;1;7;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Kloosterstraat;79;;151817;211684;MDU;XA;4;2;1;7;N;ORN;6;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Pachtstraat;10;;151902,8695;211596,1031;MDU;XC;8;0;2;10;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Prekersstraat;25;;151841,6881;211625,5468;SDU;;1;0;0;1;N;ORN;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Prekersstraat;27;;151849,9197;211604,8149;MDU;XC;9;0;2;11;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Prekersstraat;29;;151866,1114;211601,2797;MDU;XC;10;0;2;12;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Prekersstraat;31;;151882,9113;211597,7196;MDU;XC;9;0;2;11;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Prekersstraat;33;;151913,1618;211590,8573;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Korte Riddersstraat;2;;152044,8699;211990,3136;SDU;;1;0;0;1;N;MON;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;35;;151936,6165;211584,7859;MDU;XC;6;0;0;6;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Korte Riddersstraat;4;;152039,1825;211985,3213;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Korte Riddersstraat;6;;152037,6659;211981,8456;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;45;;151962,041;211586,123;MDU;XC;8;0;2;10;N;ORN;4;BUILDING template
