;ZONE_NAME;ZONING_TCHNLGY;MAINLAMKEY;POSTAL_CODE;CITY_NAME;STREET_NAME;HOUSE_NUMBER;DTP;FIC;FIS;FTS;OpdrachtID;Projectnummer;Opdrachtnummer;BG_Name;Blok;Straat;Huisnummer;Huisnummer_Toevoeging;Buildingtype;Quadrant;NR_BU;NR_LU;NR_SU;UNITS_TOTAL;Opdrachttemplate
142837;W01-C-Namur-FH06;FTTH-Cu;1290824;5000.0;Namur;Rue de la Croix(NR);48;;;1.0;;62277.0;NAMUR - FH06;1290824;52 rue de la croix (exie magasin vÃªtement );13;Rue de la Croix;48;;SDU;;1;0;2;3.0;BUILDING template
142848;W01-C-Namur-FH06;FTTH-Cu;1290837;5000.0;Namur;Place Marché aux Légumes(NR);8;;;1.0;;62713.0;NAMUR - FH06;1290837;8 place du marchÃ© (havanna );12;Place Marche aux Legumes;8;;SDU;;1;0;1;2.0;BUILDING template
142862;W01-C-Namur-FH06;FTTH-Cu;1290859;5000.0;Namur;Rue de l'Ange;17;;1.0;1.0;1.0;61814.0;NAMUR - FH06;1290859;17 Rue de l'ange 5000 Namur (Galler);10;Rue de lAnge;17;;SDU;;1;0;0;1.0;BUILDING template
142866;W01-C-Namur-FH06;FTTH-Cu;1290865;5000.0;Namur;Rue des Fripiers(NR);8;;;1.0;;61808.0;NAMUR - FH06;1290865;8 Rue des fripiers (enez  grill);11;Rue des Fripiers;8;;SDU;;1;0;1;2.0;BUILDING template
142873;W01-C-Namur-FH06;FTTH-Cu;1290876;5000.0;Namur;Rue des Fripiers(NR);13;;;1.0;;62229.0;NAMUR - FH06;1290876;13 Rue des fripiers (La pointilleuse);10;Rue des Fripiers;13;;SDU;;1;0;0;1.0;BUILDING template
142874;W01-C-Namur-FH06;FTTH-Cu;1290877;5000.0;Namur;Rue des Fripiers(NR);9;;;1.0;;62227.0;NAMUR - FH06;1290877;;10;Rue des Fripiers;9;;SDU;;1;;0;1.0;BUILDING template
142892;W01-C-Namur-FH06;FTTH-Cu;1309890;5000.0;Namur;Rue Saint-Jacques(NR);31;;;1.0;;62776.0;NAMUR - FH06;1309890;;14;Rue Saint-Jacques;31;;SDU;;1;0;0;1.0;BUILDING template
142897;W01-C-Namur-FH06;FTTH-Cu;1309899;5000.0;Namur;Rue de l'Ange;74;;;1.0;;61765.0;NAMUR - FH06;1309899;;05;Rue de lAnge;74;;SDU;;1;0;1;2.0;BUILDING template
142907;W01-C-Namur-FH06;FTTH-Cu;1309922;5000.0;Namur;Rue de l'Ange;97;;;1.0;;62262.0;NAMUR - FH06;1309922;97 Rue de l'Ange 5000 Namur (Geox);13;Rue de lAnge;97;;SDU;;1;0;2;3.0;BUILDING template
143010;W01-C-Namur-FH06;FTTH-Cu;1432394;5000.0;Namur;Rue Félix Wodon(NR);22;;;1.0;;63691.0;NAMUR - FH06;1432394;;28;Rue Felix Wodon;22;;SDU;;1;0;1;2.0;BUILDING template
143027;W01-C-Namur-FH06;FTTH-Cu;1432421;5000.0;Namur;Avenue des Combattants(NR);7;;;1.0;;58957.0;NAMUR - FH06;1432421;;0627;Avenue des Combattants;7;;SDU;;1;0;0;1.0;BUILDING template
143028;W01-C-Namur-FH06;FTTH-Cu;1440708;5000.0;Namur;Rue de Marchovelette(NR);29;;1.0;1.0;1.0;61295.0;NAMUR - FH06;1440708;29-31 Rue de Marchovelette 5000 Namur (les secrets du chef);07;Rue de Marchovelette;29;;SDU;;1;0;0;1.0;BUILDING template
143040;W01-C-Namur-FH06;FTTH-Cu;1516066;5000.0;Namur;Rue de l'Ange;30;;;1.0;;61354.0;NAMUR - FH06;1516066;30 Rue de l'Ange 5000 Namur (Pizza Hut);05;Rue de lAnge;30;;SDU;;1;0;1;2.0;BUILDING template
143041;W01-C-Namur-FH06;FTTH-Cu;1516067;5000.0;Namur;Rue de l'Ange;41;;;1.0;;62724.0;NAMUR - FH06;1516067;41 Rue de l'ange (pharmacie );12;Rue de lAnge;41;;SDU;;1;0;1;2.0;BUILDING template
143042;W01-C-Namur-FH06;FTTH-Cu;1516069;5000.0;Namur;Rue de l'Ange;16;;1.0;1.0;1.0;61349.0;NAMUR - FH06;1516069;;05;Rue de lAnge;16;;SDU;;1;0;0;1.0;BUILDING template
143048;W01-C-Namur-FH06;FTTH-Cu;153258;5000.0;Namur;Rue Joseph Saintraint(NR);11;;;1.0;;60832.0;NAMUR - FH06;153258;11 Rue Joseph Saintraint 5000 Namur;0621b;Rue Joseph Saintraint;11;;SDU;;0;1;1;2.0;BUILDING template
143052;W01-C-Namur-FH06;FTTH-Cu;20511;5000.0;Namur;Rue de l'Ange;19;;;1.0;;61803.0;NAMUR - FH06;20511;19 Rue de l'ange (histoire d'or);11;Rue de lAnge;19;;SDU;;1;0;1;2.0;BUILDING template
143056;W01-C-Namur-FH06;FTTH-Cu;20519;5000.0;Namur;Rue de Bruxelles;61;;1.0;1.0;1.0;60355.0;NAMUR - FH06;20519;61 rue de Bruxelles ( universitÃ© de Namur );0624a;Rue de Bruxelles;61;;SDU;;1;0;0;1.0;BUILDING template
143066;W01-C-Namur-FH06;FTTH-Cu;3197495;5000.0;Namur;Rue de l'Ange;15;;;1.0;;61813.0;NAMUR - FH06;3197495;15 Rue de l'ange 5000 Namur (leonidas);10;Rue de lAnge;15;;SDU;;1;0;0;1.0;BUILDING template
143068;W01-C-Namur-FH06;FTTH-Cu;3197497;5000.0;Namur;Rue de l'Ange;21;;;1.0;;61804.0;NAMUR - FH06;3197497;21 Rue de l'ange (cafÃ©s delahaut);11;Rue de lAnge;21;;SDU;;1;0;1;2.0;BUILDING template
143069;W01-C-Namur-FH06;FTTH-Cu;3197498;5000.0;Namur;Rue de l'Ange;23;;;1.0;;61805.0;NAMUR - FH06;3197498;23 Rue de l'ange (flying tiger);11;Rue de lAnge;23;;SDU;;1;0;1;2.0;BUILDING template
143070;W01-C-Namur-FH06;FTTH-Cu;3197499;5000.0;Namur;Rue de l'Ange;24;;;1.0;;61352.0;NAMUR - FH06;3197499;24 Rue de l'Ange 5000 Namur (H&M);05;Rue de lAnge;24;;SDU;;1;0;1;2.0;BUILDING template
143074;W01-C-Namur-FH06;FTTH-Cu;3197505;5000.0;Namur;Rue de l'Ange;45;;;1.0;;62726.0;NAMUR - FH06;3197505;;12;Rue de lAnge;45;;SDU;;1;0;0;1.0;BUILDING template
143076;W01-C-Namur-FH06;FTTH-Cu;3197509;5000.0;Namur;Rue de l'Ange;52;;;1.0;;61757.0;NAMUR - FH06;3197509;52 rue Place de l'ange;05;Rue de lAnge;52;;SDU;;1;0;1;2.0;BUILDING template
143079;W01-C-Namur-FH06;FTTH-Cu;3197513;5000.0;Namur;Rue de l'Ange;58;;;1.0;;61759.0;NAMUR - FH06;3197513;58 rue de l'ange;05;Rue de lAnge;58;;SDU;;1;0;1;2.0;BUILDING template
143082;W01-C-Namur-FH06;FTTH-Cu;3197516;5000.0;Namur;Rue de l'Ange;64;;;1.0;;61761.0;NAMUR - FH06;3197516;64 rue de l'ange;05;Rue de lAnge;64;;SDU;;1;0;1;2.0;BUILDING template
143087;W01-C-Namur-FH06;FTTH-Cu;3197522;5000.0;Namur;Rue de l'Ange;76;;;1.0;;61766.0;NAMUR - FH06;3197522;76 rue l'ange;05;Rue de lAnge;76;;SDU;;1;0;1;2.0;BUILDING template
143088;W01-C-Namur-FH06;FTTH-Cu;3197523;5000.0;Namur;Rue de l'Ange;77;;;1.0;;62256.0;NAMUR - FH06;3197523;77 Rue de L'ange 5000 Namur;13;Rue de lAnge;77;;SDU;;1;0;3;4.0;BUILDING template
