Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
EVERE - FH01;726787;971447;;Oud-Strijderslaan - Avenue des Anciens Combattants;37;D;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1624370;970483;;Twee Huizenstraat - Rue des Deux Maisons;74;;;;;N;;N;;;;BUILDING template
EVERE - FH01;724014;971194;;Constant Permekelaan - Avenue Constant Permeke;79;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5694815;5620974;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;19;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620912;6639317;;Leuvensesteenweg - Chaussée de Louvain;930;;;;;N;;N;;;;BUILDING template
EVERE - FH01;25433;5620900;;Chaussée de Louvain - Leuvensesteenweg;771;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1621784;5620859;;Avenue Franz Guillaume - Franz Guillaumelaan;8;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1624371;970484;;Twee Huizenstraat - Rue des Deux Maisons;76;;;;;N;;N;;;;BUILDING template
EVERE - FH01;724015;971195;;Constant Permekelaan - Avenue Constant Permeke;81;;C;2019-09-30;2019-11-06;Y;;N;;;;BUILDING template
EVERE - FH01;5479937;5620935;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;21;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1621757;968265;;Léon Grosjeanlaan - Avenue Léon Grosjean;5;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726790;971450;;Gelukzaligheidslaan - Avenue de la Béatitude;3;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1621785;5620860;;Avenue Franz Guillaume - Franz Guillaumelaan;10;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1120049;966830;;Twee Huizenstraat - Rue des Deux Maisons;78;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;724016;971196;;Constant Permekelaan - Avenue Constant Permeke;83;;A;2019-09-19;2019-11-06;Y;;N;;;;BUILDING template
EVERE - FH01;5479938;5620936;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;23;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1621758;968266;;Léon Grosjeanlaan - Avenue Léon Grosjean;7;;;;;N;;N;;;;BUILDING template
EVERE - FH01;726791;971451;;Gelukzaligheidslaan - Avenue de la Béatitude;5;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1120071;5620840;;Avenue Franz Guillaume - Franz Guillaumelaan;80;;;;;N;;N;;;;BUILDING template
