Projectnummer;LAM MK;LU Key;Opdrachttemplate;Quadrant;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
KNOKKE-HEIST - FH09;2756814;2756814;BUILDING template;XA;Zeedijk-Heist;182;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756816;2756816;BUILDING template;XA;Zeedijk-Heist;192;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756838;2756838;BUILDING template;XA;Zeedijk-Heist;204;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756862;2756862;BUILDING template;XA;Zeedijk-Heist;240;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;290631;290631;BUILDING template;XA;Elizabetlaan;403;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756768;2756768;BUILDING template;XA;Zeedijk-Heist;130;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756729;2756729;BUILDING template;XA;Zeedijk-Heist;88;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756735;2756735;BUILDING template;XA;Zeedijk-Heist;94;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756745;2756745;BUILDING template;XA;Zeedijk-Heist;103;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4016351;4016351;BUILDING template;XA;Zeedijk-Heist;284;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292340;292340;BUILDING template;XA;Zeedijk-Heist;148;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756715;2756715;BUILDING template;XA;Zeedijk-Heist;70;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756738;2756738;BUILDING template;XA;Zeedijk-Heist;98;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756771;2756771;BUILDING template;XA;Zeedijk-Heist;134;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;290503;290503;BUILDING template;XA;Elizabetlaan;385;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292338;292338;BUILDING template;XA;Zeedijk-Heist;111;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756721;2756721;BUILDING template;XA;Zeedijk-Heist;77;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756898;2756898;BUILDING template;XA;Zeedijk-Heist;279;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756764;2756764;BUILDING template;XA;Zeedijk-Heist;123;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756790;2756790;BUILDING template;XA;Zeedijk-Heist;157;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756828;2756828;BUILDING template;XA;Zeedijk-Heist;199;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756896;2756896;BUILDING template;XA;Zeedijk-Heist;278;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756755;2756755;BUILDING template;XA;Zeedijk-Heist;114;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756845;2756845;BUILDING template;XA;Zeedijk-Heist;209;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756906;2756906;BUILDING template;XA;Zeedijk-Heist;292;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756787;2756787;BUILDING template;XA;Zeedijk-Heist;155;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756864;2756864;BUILDING template;XA;Zeedijk-Heist;242;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292344;292344;BUILDING template;XA;Zeedijk-Heist;115;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292677;292677;BUILDING template;XA;Zeedijk-Heist;104;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71635;71635;BUILDING template;XA;Zeedijk-Heist;195;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302671;302671;BUILDING template;XA;Zeedijk-Heist;271;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756725;2756725;BUILDING template;XA;Zeedijk-Heist;85;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292341;292341;BUILDING template;XA;Zeedijk-Heist;156;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302694;302694;BUILDING template;XA;August Beernaertstraat;3;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;290502;290502;BUILDING template;XA;Zeedijk-Heist;193;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;1465872;1465872;BUILDING template;XA;Zeedijk-Heist;186;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71702;71702;BUILDING template;XA;Albatrosstraat;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71703;71703;BUILDING template;XA;Albatrosstraat;4;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292337;292337;BUILDING template;XA;Graaf van Vlaanderenstraat;1;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;297138;297138;BUILDING template;XA;Eerste-Geniestraat;16;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302680;302680;BUILDING template;XA;Graaf d Ursellaan;24;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756885;2756885;BUILDING template;XA;Zeedijk-Heist;262;;B;BOWN;B;BOWN
